Time,Flux,Flux_Err,Filt,mod_flux
2072.788664435786,107.54233,10.243179,True,107.54232788085938
2072.8090962943315,8.9467125,10.242751,True,8.946712493896484
2072.8499602104857,3.6449127,10.242024,True,3.6449127197265625
2072.9521200943564,175.43933,10.244894,True,175.4393310546875
2072.972551950108,36.952587,10.24168,True,36.95258712768555
2072.992983905395,78.559265,10.242276,True,78.55926513671875
2073.0134159602167,41.249626,10.241694,True,41.24962615966797
2073.0338478150297,148.84299,10.243209,True,148.84298706054688
2073.0542798689203,33.50448,10.242841,True,33.504478454589844
2073.074711822803,6.7720833,10.243422,True,6.772083282470703
2073.095143776227,13.301239,10.2422495,True,13.301239013671875
2073.1155757291854,5.8456726,10.242807,True,5.845672607421875
2073.136007682144,84.635056,10.243817,True,84.63505554199219
2073.176871586191,243.71432,10.24873,True,243.71432495117188
2073.1973035382107,79.76047,10.2432165,True,79.76046752929688
2073.2381675399374,149.68579,10.248616,True,149.685791015625
2073.258599390567,110.760956,10.244709,True,110.76095581054688
2073.279031340724,49.05089,10.243877,True,49.0508918762207
2073.2994633904236,221.54855,10.246936,True,221.54855346679688
2073.3198952401144,47.709583,10.243037,True,47.7095832824707
2073.36075923765,56.5806,10.244696,True,56.58060073852539
2073.3811910859513,28.498112,10.243113,True,28.498111724853516
2073.401623034246,35.082012,10.243673,True,35.08201217651367
2073.4220549816164,220.91057,10.249147,True,220.9105682373047
2073.4424869289796,39.253803,10.243411,True,39.25380325317383
2073.4833508223237,27.997623,10.242147,True,27.997623443603516
2073.5037827682972,35.35034,10.242945,True,35.350341796875
2073.5242148142643,13.457291,10.242662,True,13.457290649414062
2073.5446466593057,12.5399,10.24249,True,12.539899826049805
2073.5650786048063,45.15672,10.243855,True,45.15671920776367
2073.5855106493837,164.64479,10.24568,True,164.64479064941406
2073.6059425934945,83.58638,10.243503,True,83.58638000488281
2073.6468064812434,70.65573,10.243215,True,70.65573120117188
2073.667238424423,91.10123,10.243861,True,91.10122680664062
2073.687670267129,44.785908,10.2435875,True,44.78590774536133
2073.728534251626,45.20771,10.245321,True,45.20771026611328
2073.7489660938736,53.57564,10.245148,True,53.57564163208008
2073.769398135184,35.994923,10.244831,True,35.99492263793945
2073.7898300760353,1.7036552,10.244935,True,1.7036552429199219
2073.830693957265,156.1635,10.2454405,True,156.1634979248047
2073.851125897185,56.52889,10.243944,True,56.52888870239258
2073.8715579366326,1.1791267,10.244409,True,1.1791267395019531
2073.891989776086,19.318089,10.244639,True,19.31808853149414
2073.932853753591,118.40095,10.245063,True,118.40094757080078
2073.9941495668245,72.946075,10.24582,True,72.94607543945312
2074.03501334061,93.53946,10.2464285,True,93.53945922851562
2074.055445376798,87.83328,10.244668,True,87.83328247070312
2074.075877312993,16.560556,10.245832,True,16.560556411743164
2074.096309148721,25.452892,10.24513,True,25.452892303466797
2074.178036987898,19.134022,10.245687,True,19.134021759033203
2074.2801965534964,13.6200485,10.24553,True,13.620048522949219
2074.3006285854935,53.711044,10.246359,True,53.71104431152344
2074.4027882403825,57.32332,10.246659,True,57.32331848144531
2074.4436521001917,65.530396,10.248053,True,65.5303955078125
2074.4640840294014,21.73251,10.245754,True,21.73250961303711
2074.484515958138,34.460056,10.246199,True,34.46005630493164
2074.5049478864166,43.65244,10.246455,True,43.65243911743164
2074.525379814695,25.678425,10.246879,True,25.678424835205078
2074.5662436698476,48.51426,10.246559,True,48.514259338378906
2074.627539450019,30.89983,10.246012,True,30.899829864501953
2074.668403301912,61.521183,10.247798,True,61.521183013916016
2074.709267251943,84.257034,10.250768,True,84.25703430175781
2074.750131101049,69.63646,10.248179,True,69.63645935058594
2074.7705630246637,10.916706,10.248084,True,10.916706085205078
2074.8114268714417,40.51652,10.247489,True,40.51652145385742
2074.8318587945905,85.02043,10.248406,True,85.02043151855469
2074.87272263904,93.33484,10.249112,True,93.3348388671875
2074.9135863820848,109.2419,10.251615,True,109.24189758300781
2075.0157460843475,2.5043259,10.247238,True,2.5043258666992188
2075.056609922278,34.07855,10.248105,True,34.078548431396484
2075.1383375948644,117.09659,10.249819,True,117.09658813476562
2075.1587696119677,68.67732,10.248302,True,68.67732238769531
2075.281361108049,56.626247,10.248745,True,56.62624740600586
2075.8125907794238,7.308361,10.250945,True,7.308361053466797
2075.8330226853504,4.137806,10.251273,True,4.137805938720703
2075.894318400562,2.4211082,10.251417,True,2.4211082458496094
2076.6094349513296,20.190018,10.255162,True,20.190017700195312
2076.8546177389508,7.479664,10.2561245,True,7.479663848876953
2077.0180728373307,18.647713,10.257445,True,18.64771270751953
2077.1202322628815,6.765259,10.25732,True,6.7652587890625
2077.1610960309554,51.968224,10.258649,True,51.968223571777344
2077.2019598974002,55.44632,10.258078,True,55.446319580078125
2077.222391680276,21.784771,10.257572,True,21.784770965576172
2077.2428235626867,15.106728,10.257403,True,15.106727600097656
2077.2836873265696,45.148754,10.258138,True,45.14875411987305
2077.304119208049,50.356716,10.2585945,True,50.35671615600586
2077.324551189289,6.3973656,10.257662,True,6.397365570068359
2077.447142469071,24.983902,10.259863,True,24.983901977539062
2077.5084381046545,5.951191,10.259488,True,5.951190948486328
2077.549301759929,17.673347,10.261366,True,17.67334747314453
2077.5697337369784,16.342503,10.260444,True,16.34250259399414
2077.6105975903847,56.645584,10.260774,True,56.64558410644531
2077.6514612424,41.60052,10.262721,True,41.600521087646484
2077.7127568682045,67.023994,10.262672,True,67.02399444580078
2077.7740524907495,12.103302,10.261999,True,12.103302001953125
2077.8149163376365,1.4226227,10.262689,True,1.4226226806640625
2077.8353481105005,45.76395,10.262715,True,45.76395034790039
2077.937507470153,19.480618,10.263375,True,19.48061752319336
2078.0192350520592,41.434826,10.263118,True,41.4348258972168
2078.03966692189,17.646702,10.263833,True,17.64670181274414
2078.0600986910285,81.276726,10.265252,True,81.27672576904297
