Time,Flux,Flux_Err,Filt
2109.4023289159522,1142.6744,10.650547,False
2109.4227604239713,1134.9637,10.650553,False
2109.443192031933,1125.1091,10.651917,False
2109.4636237399536,1179.4664,10.652944,False
2109.4840552479072,1285.4567,10.655157,False
2109.606644895779,1429.9009,10.662715,False
2109.6270766037414,1430.5281,10.6634445,False
2109.647508211696,1408.3687,10.662988,False
2109.6679398196575,1443.1521,10.664968,False
2109.688371427619,1481.2781,10.66621,False
2109.708803035581,1584.0944,10.668236,False
2109.729234643535,1508.065,10.668213,False
2109.770097859451,1533.242,10.671424,False
2109.790529467471,1668.0265,10.672272,False
2109.8109611753753,1659.1787,10.672901,False
2109.8313926833944,1653.323,10.6728945,False
2109.8518243912913,1622.7151,10.673206,False
2109.8722558993104,1650.6772,10.673168,False
2109.892687507265,1670.7491,10.675613,False
2109.913119215227,1677.0203,10.674377,False
2109.933550723188,1539.9159,10.6722975,False
2109.9539823311497,1500.815,10.670176,False
2109.974414039105,1430.9792,10.667926,False
2110.035708863041,1246.9302,10.665788,False
2110.05614037106,1143.1211,10.66221,False
2110.076572079015,1129.0793,10.661367,False
2110.097003687035,1020.3227,10.659552,False
2110.117435194996,871.4261,10.655449,False
2110.137866903009,723.22003,10.651775,False
2110.158298510971,697.2661,10.6509495,False
2110.1787301189906,720.2422,10.651594,False
2110.1991617270032,721.8124,10.64981,False
2110.219593335023,655.7843,10.6499605,False
2110.2808881590754,505.17557,10.646357,False
2110.301319867096,476.10944,10.646019,False
2110.321751475167,402.43024,10.644469,False
2110.342182983186,456.70337,10.645232,False
2110.3626146912575,336.9486,10.644026,True
2110.3830462992773,379.5055,10.644443,True
2110.4034779073554,278.26886,10.643909,True
2110.4239095154335,346.6382,10.644146,True
2110.4443411235043,332.19858,10.643037,True
2110.4647727316406,288.13696,10.643426,True
2110.505635847847,196.30055,10.641976,True
2110.5260675559257,234.44363,10.642573,True
2110.56693067219,227.93976,10.642845,True
2110.5873623803272,244.83247,10.644311,True
2110.6077939884563,199.50256,10.643149,True
2110.6282256965933,202.99632,10.64246,True
2110.648657204787,67.00255,10.642385,True
2110.6690888129815,2187.9568,10.704929,False
2110.6895205211113,165.1191,10.643325,True
2110.709952029363,74.98888,10.64271,True
2110.8325416787484,268.749,10.64699,True
2111.0368579620044,148.75458,10.64879,True
2111.057289470431,167.64256,10.650126,True
2111.077721178859,214.49918,10.6509495,True
2111.098152787279,105.6127,10.649247,True
2111.118584295764,166.43251,10.649934,True
2111.139016004192,77.97949,10.649635,True
2111.1594475126694,115.46817,10.650458,True
2111.179879121213,-51.831375,10.64946,False
2111.2003108296994,-7.5487576,10.650178,False
2111.2820371639173,222.83316,10.655789,True
2111.322900481122,-0.7601509,10.654324,False
2111.343331989716,155.28519,10.656309,True
2111.3637636983767,76.4325,10.65468,True
2111.384195307037,177.31525,10.65695,True
2111.4046269156897,137.91849,10.65634,True
2111.425058524408,128.0682,10.656514,True
2111.4454901331264,195.25816,10.658394,True
2111.5272166681607,211.06973,10.660723,True
2111.5476482769955,204.7986,10.661094,True
2111.5680797858295,144.1836,10.660738,True
2111.588511494716,18.90475,10.658593,True
2111.629374612443,164.37057,10.660855,True
2111.6498063213876,141.05553,10.661724,True
2111.6702379303388,153.6396,10.662314,True
2111.6906696392834,232.73749,10.663372,True
2111.772395975313,166.67163,10.664702,True
2111.7928275843806,167.26129,10.664525,True
2111.813259193499,168.64183,10.664601,True
2111.833690802625,151.42628,10.665076,True
2111.8541224117507,154.33821,10.665045,True
2111.8745540208765,93.97418,10.664869,True
2111.9154173392963,144.8633,10.665661,True
2111.9358488485304,137.4174,10.666205,True
2112.0584386044357,179.95718,10.669553,True
2112.119733432737,56.45879,10.669954,True
2112.140165042212,137.30959,10.671939,True
2112.1605966517454,183.09659,10.672048,True
2112.1810282612714,139.93442,10.670915,True
2112.283186309396,210.88747,10.675164,True
2112.3036180190393,209.86887,10.677235,True
2112.3240496288054,147.32411,10.675962,True
2112.3444811385707,97.514206,10.675022,True
2112.3649128483303,151.39064,10.675267,True
2112.3853444581546,147.99086,10.675429,True
2112.4057759680363,164.87753,10.67635,True
2112.4262076779123,173.97858,10.676286,True
2112.5896605580056,63.40212,10.680435,True
2112.6305237783454,165.76137,10.681619,True
2112.650955388577,185.5131,10.681931,True
2112.6713869988307,182.49272,10.682371,True
2112.7939766610507,152.40141,10.68429,True
2112.814408371516,78.03679,10.8268585,True
2112.8348399820316,93.46947,10.826291,True
2112.855271492612,153.65082,10.827989,True
2112.8757032031936,154.17903,10.828471,True
2112.8961348137964,67.89294,10.827555,True
2112.9165665244655,77.05437,10.826618,True
2113.0187244782865,41.45112,10.82847,True
2113.0391561891593,72.63076,10.828216,True
2113.0595877000887,32.64913,10.828007,True
2113.0800193110117,83.94982,10.829619,True
2113.100451022001,114.20289,10.830225,True
2113.120882533047,75.30661,10.833219,True
2113.141314244087,2056.6213,10.90812,False
2113.2843355225923,89.35098,10.84371,True
2113.4273569030192,37.139595,10.847908,True
2113.447788414669,409.7272,10.858761,False
2113.468220026385,147.70146,10.849701,True
2113.4886517380946,90.71178,10.849634,True
2113.50908324981,22.88879,10.848751,True
2113.529514961643,87.67163,10.849614,True
2113.5499465735047,51.817387,10.848872,True
2113.5703780854165,174.43092,10.852532,True
2113.590809797366,146.17839,10.852043,True
2113.611241409337,153.52142,10.85288,True
2113.6316729213722,142.54767,10.852657,True
2113.6521046334674,-3.1848335,10.850311,False
2113.6929677577646,38.06118,10.853916,True
2113.7542627945077,174.12039,10.856973,True
2113.7746943068632,154.81177,10.856971,True
2113.7951259192487,168.841,10.857077,True
2113.815557531656,74.4261,10.856802,True
2113.8359892441586,198.67957,10.856952,True
2113.8564207566815,222.62872,10.857865,True
2113.8768524692423,6.7763824,10.854947,True
2113.897283981889,146.07071,10.85726,True
2113.979010532814,282.91504,10.865479,True
2113.999442145665,260.85745,10.864057,True
2114.0198736585735,244.87012,10.865132,True
2114.0403053715054,273.72964,10.865902,True
2114.060736984502,217.25357,10.864954,True
2114.081168497556,172.26793,10.865002,True
2114.1016002106335,163.56233,10.865216,True
2114.1220318237756,201.61514,10.865968,True
2114.1424635369767,107.91992,10.865479,True
2114.2241898902284,119.38794,10.868233,True
2114.2446215036907,149.22717,10.869563,True
2114.2650532171538,162.81624,10.870672,True
2114.2854847306953,117.08606,10.869784,True
2114.305916444304,150.6723,10.869945,True
2114.326348057941,36.02826,10.870257,True
2114.3467796716286,77.98274,10.868874,True
2114.367211285382,7.536442,10.868086,True
2114.3876428991643,77.286896,10.86964,True
2114.5102325830667,216.72498,10.876046,True
2114.530664297221,201.72371,10.876654,True
2114.5510958114683,193.27174,10.877204,True
2114.5715274257454,232.3005,10.87957,True
2114.591959140045,214.76184,10.878699,True
2114.612390654438,138.44453,10.878931,True
2114.63282226889,220.40094,10.881111,True
2114.7554120566638,170.46877,10.882968,True
2114.837138516319,15.04438,10.88192,True
2114.8575700313813,138.38367,10.884341,True
2114.878001746474,64.08594,10.882855,True
2115.123181232375,204.70648,10.879374,True
2115.245770928559,156.31526,10.888778,True
2115.327497393926,102.53795,10.890598,True
2115.368360726956,95.87369,10.891324,True
2115.531813661728,175.41245,10.8941555,True
2115.572676896074,87.62345,10.895401,True
2115.593108513349,104.792244,10.896653,True
2115.6135401306747,189.99806,10.897289,True
2115.73612983607,30.380058,10.899211,True
2115.7974246896774,96.486595,10.900784,True
2115.8178564076807,68.07921,10.90133,True
2115.838288025734,62.940067,10.901663,True
2115.8587195438813,106.34711,10.902129,True
2115.9608776356326,68.227356,10.903749,True
2116.00174097281,54.3392,10.903285,True
2116.0221724915173,64.30289,10.903862,True
2116.042604210277,31.343594,10.903276,True
2116.063035829109,19.84401,10.903349,True
2116.083467448021,76.82937,10.903802,True
2116.1038990669986,-43.356087,10.903058,False
2116.206057262978,94.80681,10.907039,True
2116.226488882392,-6.3857613,10.906414,False
2116.2469204018853,121.879486,10.909002,True
